id,slug,parent_id,icon,order,sale_only,applicable_to
01K7CT80XW16XNKJ59T0EF12RJ,gloves,01K7CT80X8XK08BHHKC96JVYTX,🧤,0,false,market
01K7CT80XX791RV0X1EKQZFNEK,beauty-health,01K7M9YVK4G7MYJBP0G4QYQDQQ,💄,4,false,market
01K7CT80XXTZRH434FR4GT9009,perfumes,01K7CT80XX791RV0X1EKQZFNEK,🌸,0,true,market
01K7CT80XYBCPVFBN1CWHHKZN5,women-perfumes,01K7CT80XXTZRH434FR4GT9009,🌸,0,true,market
01K7CT80XYK0WJ716M4W99K5KX,men-perfumes,01K7CT80XXTZRH434FR4GT9009,🌸,0,true,market
01K7CT80XZ1JCAKAJVX3M5HQCD,unisex-perfumes,01K7CT80XXTZRH434FR4GT9009,💐,0,true,market
01K7CT80XZ8FPA3XR6Y3E0CHPF,cleansing,01K7CT80XZMMT3JJ2V0W709NMF,🧴,0,true,market
01K7CT80XZMMT3JJ2V0W709NMF,face-care,01K7CT80XX791RV0X1EKQZFNEK,😊,0,true,market
01K7CT80Y00S1XEDAJ4DYKZGG5,moisturizing,01K7CT80XZMMT3JJ2V0W709NMF,💧,0,true,market
01K7CT80Y0QVEC720KE975DB9B,masks,01K7CT80XZMMT3JJ2V0W709NMF,😷,0,true,market
01K7CT80Y1NQKK7KSR8DDXFMDF,anti-aging,01K7CT80XZMMT3JJ2V0W709NMF,✨,0,true,market
01K7CT80Y1V2CFE9MWR0HZ5SB5,serums,01K7CT80XZMMT3JJ2V0W709NMF,💧,0,true,market
01K7CT80Y2XC44NHGR3YQZ5RJ7,makeup,01K7CT80XX791RV0X1EKQZFNEK,💅,0,true,market
01K7CT80Y5WKN21190JNKYCWHR,hair-care,01K7CT80XX791RV0X1EKQZFNEK,✂️,0,true,market
01K7CT80Y5Y4C3NXGY6KDV761V,shampoos-conditioners,01K7CT80Y5WKN21190JNKYCWHR,🧴,0,true,market
01K7CT80Y64N42TJ2XK4ASWA71,hair-masks-oils,01K7CT80Y5WKN21190JNKYCWHR,🧴,0,true,market
01K7CT80Y6MJP02JJTMKGZHHXP,styling,01K7CT812R4W4N03ZYXY1P73N1,✨,0,false,market|directory
01K7CT80Y7GRDHX7E7VBXS6C72,hair-color,01K7CT80Y5WKN21190JNKYCWHR,🎨,0,true,market
01K7CT80Y7XNZHB3G8CPZJ5JNA,body-care,01K7CT80XX791RV0X1EKQZFNEK,💖,0,true,market
01K7CT80Y827S4V3XKVH4BYVDB,body-lotions,01K7CT80Y7XNZHB3G8CPZJ5JNA,🧴,0,true,market
01K7CT80Y8T6T35CEM74A28XXK,shower-gels-soap,01K7CT80Y7XNZHB3G8CPZJ5JNA,🧼,0,true,market
01K7CT80Y90R10T6BC4H5HFEJB,scrubs,01K7CT80Y7XNZHB3G8CPZJ5JNA,🧴,0,true,market
01K7CT80Y9MDR3NB7GMG7RSDSD,deodorants,01K7CT80Y7XNZHB3G8CPZJ5JNA,🧴,0,true,market
01K7CT80YA20FTYF0RTVXRFY86,beauty-devices,01K7CT80XX791RV0X1EKQZFNEK,✨,0,false,market
01K7CT80YA8Q02F9SS2V8HYHEV,hair-removal,01K7CT812Q9GHS966J9RTQB7NX,✨,0,false,market|directory
01K7CT80YBG4VQC9KP9F45207S,hair-dryers-stylers,01K7CT80YA20FTYF0RTVXRFY86,🌀,0,false,market
01K7CT80YBGBV0Y2DW2YSA6YXR,straighteners-curlers,01K7CT80YA20FTYF0RTVXRFY86,💇‍♀️,0,false,market
01K7CT80YBSTJCCQDWB9Y8TS8N,epilators,01K7CT80YA20FTYF0RTVXRFY86,💇,0,false,market
01K7CT80YCD2MHHG16H9R33RV2,manicure-sets,01K7CT80YA20FTYF0RTVXRFY86,💇,0,false,market
01K7CT80YCNKR81D2XDWTD7Q90,massagers,01K7CT80YA20FTYF0RTVXRFY86,💆,0,false,market
01K7CT80YDJ27QSVW1C5VV3NY3,health,01K7CT80XX791RV0X1EKQZFNEK,🏃,0,false,market
01K7CT80YDY64BTKA6F9JDFDZQ,medical-devices,01K7CT80YDJ27QSVW1C5VV3NY3,⚕️,0,false,market
01K7CT80YE3MCHNYXB8MZHV1KZ,vitamins-supplements,01K7CT80YDJ27QSVW1C5VV3NY3,💊,0,false,market
01K7CT80YEYNN5P5YS49ZRR9NQ,orthopedics,01K7CT80YDJ27QSVW1C5VV3NY3,🦴,0,false,market
01K7CT80YF4V8B3AQ6K0ZGBBEZ,hygiene,01K7CT80YDJ27QSVW1C5VV3NY3,🧼,0,true,market
01K7CT80YF6N9W7C9ATZB1V6C6,kids,01K7M9YVK4G7MYJBP0G4QYQDQQ,👶,5,false,market
01K7CT80YG0QDHWJZ9W38148W5,kids-clothing-shoes,01K7CT80YF6N9W7C9ATZB1V6C6,👶,0,false,market
01K7CT80YG9C0Z68GV5Y9A9B4A,baby-clothing,01K7CT80YG0QDHWJZ9W38148W5,👔,0,false,market
01K7CT80YH4N9YKCQXY5A254ET,children-clothing,01K7CT80YG0QDHWJZ9W38148W5,👔,0,false,market
01K7CT80YH99BP5T5BS92S38ZJ,toddler-clothing,01K7CT80YG0QDHWJZ9W38148W5,👔,0,false,market
01K7CT80YJCBJP0825GH7N7F7S,school-clothing,01K7CT80YG0QDHWJZ9W38148W5,👔,0,false,market
01K7CT80YJW4CC4WH2462MA7HQ,teen-clothing,01K7CT80YG0QDHWJZ9W38148W5,👔,0,false,market
01K7CT80YKECAD8EX7M9YA8SGZ,strollers-carseats,01K7CT80YF6N9W7C9ATZB1V6C6,👶,0,false,market
01K7CT80YKQM2RRZN8YR69TDE2,strollers,01K7CT80YKECAD8EX7M9YA8SGZ,🚼,0,false,market
01K7CT80YKRM309751KK2DRBAA,kids-shoes,01K7CT80YG0QDHWJZ9W38148W5,👞,0,false,market
01K7CT80YM0WXADX021BPKGYD8,car-seats,01K7CT80YKECAD8EX7M9YA8SGZ,🚗,0,false,market
01K7CT80YMJ2X3PSEXG96RG4W9,baby-carriers,01K7CT80YKECAD8EX7M9YA8SGZ,👶,0,false,market
01K7CT80YPQMAXSK0P9HH1Y25D,cribs,01K7CT80YPSPY64GC75XZ3N4VE,🛏️,0,false,market
01K7CT80YPSPY64GC75XZ3N4VE,kids-furniture,01K7CT80YF6N9W7C9ATZB1V6C6,🛏️,0,false,market
01K7CT80YQ1RN0AJHCEQ9A10WV,dressers,01K7CT80YPSPY64GC75XZ3N4VE,🪑,0,false,market
01K7CT80YQ5XV87EF31GXE8WGM,high-chairs,01K7CT80YPSPY64GC75XZ3N4VE,🪑,0,false,market
01K7CT80YRSX61FSH2ZAFGF1YW,tables-chairs,01K7CT80YPSPY64GC75XZ3N4VE,🪑,0,false,market
01K7CT80YSN023JF6RANSHAM9B,feeding,01K7CT80YF6N9W7C9ATZB1V6C6,🍼,0,false,market
01K7CT80YSRPTHKC8409F6N1X2,bottles-nipples,01K7CT80YSN023JF6RANSHAM9B,🍼,0,false,market
